--------------------------------------------------------------------------------
|Rank|    Word    |Actual Freq | Zipf Frac  | Zipf Freq  |Actual Diff |Pct Diff|
|  30|shuningdek  |        3582|        1/30|     1279.23|     2302.77| 280.01%|
|  31|nafar       |        3509|        1/31|     1237.97|     2271.03| 283.45%|
|  32|xizmati     |        3463|        1/32|     1199.28|     2263.72| 288.76%|
|  33|bo`lib      |        3377|        1/33|     1162.94|     2214.06| 290.38%|
|  34|yangi       |        3342|        1/34|     1128.74|     2213.26| 296.08%|
|  35|viloyati    |        3281|        1/35|     1096.49|     2184.51| 299.23%|
|  36|axborot     |        3176|        1/36|     1066.03|     2109.97| 297.93%|
|  37|mazkur      |        3123|        1/37|     1037.22|     2085.78| 301.09%|
|  38|o`z         |        3071|        1/38|     1009.92|     2061.08| 304.08%|
|  39|qildi       |        2933|        1/39|      984.03|     1948.97| 298.06%|
|  40|yilda       |        2928|        1/40|      959.43|     1968.57| 305.18%|
|  41|yuzasidan   |        2841|        1/41|      936.02|     1904.98| 303.52%|
|  42|joriy       |        2774|        1/42|      913.74|     1860.26| 303.59%|
|  43|shahar      |        2725|        1/43|      892.49|     1832.51| 305.33%|
|  44|ming        |        2640|        1/44|      872.20|     1767.80| 302.68%|
|  45|havo        |        2636|        1/45|      852.82|     1783.18| 309.09%|
|  46|ta`lim      |        2550|        1/46|      834.28|     1715.72| 305.65%|
|  47|berdi       |        2543|        1/47|      816.53|     1726.47| 311.44%|
|  48|ishlab      |        2510|        1/48|      799.52|     1710.48| 313.94%|
|  49|yilning     |        2498|        1/49|      783.20|     1714.80| 318.95%|
|  50|bosh        |        2474|        1/50|      767.54|     1706.46| 322.33%|
|  51|ba`zi       |        2471|        1/51|      752.49|     1718.51| 328.38%|
|  52|ms          |        2436|        1/52|      738.02|     1697.98| 330.07%|
|  53|ishlar      |        2426|        1/53|      724.09|     1701.91| 335.04%|
|  54|xalqaro     |        2419|        1/54|      710.69|     1708.31| 340.38%|
|  55|yoki        |        2381|        1/55|      697.76|     1683.24| 341.23%|
|  56|etish       |        2334|        1/56|      685.30|     1648.70| 340.58%|
|  57|vazirligi   |        2329|        1/57|      673.28|     1655.72| 345.92%|
|  58|esa         |        2308|        1/58|      661.67|     1646.33| 348.81%|
|  59|qabul       |        2306|        1/59|      650.46|     1655.54| 354.52%|
|  60|boshqa      |        2306|        1/60|      639.62|     1666.38| 360.53%|
|  61|haqida      |        2300|        1/61|      629.13|     1670.87| 365.58%|
|  62|orqali      |        2284|        1/62|      618.98|     1665.02| 368.99%|
|  63|oliy        |        2249|        1/63|      609.16|     1639.84| 369.20%|
|  64|joylarda    |        2233|        1/64|      599.64|     1633.36| 372.39%|
|  65|har         |        2221|        1/65|      590.42|     1630.58| 376.18%|
|  66|ish         |        2219|        1/66|      581.47|     1637.53| 381.62%|
|  67|tuman       |        2204|        1/67|      572.79|     1631.21| 384.78%|
|  68|davomida    |        2194|        1/68|      564.37|     1629.63| 388.75%|
|  69|jinoyat     |        2176|        1/69|      556.19|     1619.81| 391.23%|
|  70|tumani      |        2163|        1/70|      548.24|     1614.76| 394.53%|
|  71|shamol      |        2145|        1/71|      540.52|     1604.48| 396.84%|
|  72|olish       |        2139|        1/72|      533.01|     1605.99| 401.30%|
|  73|ishlari     |        2118|        1/73|      525.71|     1592.29| 402.88%|
|  74|ijtimoiy    |        2115|        1/74|      518.61|     1596.39| 407.82%|
|  75|prezident   |        2080|        1/75|      511.69|     1568.31| 406.49%|
|  76|to`g`risida |        2066|        1/76|      504.96|     1561.04| 409.14%|
|  77|barcha      |        2025|        1/77|      498.40|     1526.60| 406.30%|
|  78|qarshi      |        2005|        1/78|      492.01|     1512.99| 407.51%|
|  79|u           |        1958|        1/79|      485.78|     1472.22| 403.06%|
|  80|uning       |        1958|        1/80|      479.71|     1478.29| 408.16%|
|  81|viloyatida  |        1942|        1/81|      473.79|     1468.21| 409.89%|
|  82|holat       |        1920|        1/82|      468.01|     1451.99| 410.25%|
|  83|tezlikda    |        1915|        1/83|      462.37|     1452.63| 414.17%|
|  84|maqsadida   |        1902|        1/84|      456.87|     1445.13| 416.31%|
|  85|nisbatan    |        1886|        1/85|      451.49|     1434.51| 417.72%|
|  86|kechasi     |        1858|        1/86|      446.24|     1411.76| 416.36%|
|  87|esadi       |        1842|        1/87|      441.11|     1400.89| 417.58%|
|  88|iliq        |        1824|        1/88|      436.10|     1387.90| 418.25%|
|  89|qilingan    |        1797|        1/89|      431.20|     1365.80| 416.74%|
|  90|turadi      |        1786|        1/90|      426.41|     1359.59| 418.84%|
|  91|soat        |        1780|        1/91|      421.73|     1358.27| 422.08%|
|  92|edi         |        1778|        1/92|      417.14|     1360.86| 426.23%|
|  93|qayd        |        1770|        1/93|      412.66|     1357.34| 428.93%|
|  94|yo`l        |        1752|        1/94|      408.27|     1343.73| 429.13%|
|  95|milliy      |        1744|        1/95|      403.97|     1340.03| 431.72%|
|  96|ikki        |        1735|        1/96|      399.76|     1335.24| 434.01%|
|  97|matbuot     |        1735|        1/97|      395.64|     1339.36| 438.53%|
|  98|etgan       |        1732|        1/98|      391.60|     1340.40| 442.29%|
|  99|qilindi     |        1720|        1/99|      387.65|     1332.35| 443.70%|
| 100|eng         |        1709|       1/100|      383.77|     1325.23| 445.32%|
| 101|etilgan     |        1708|       1/101|      379.97|     1328.03| 449.51%|
| 102|o`tgan      |        1700|       1/102|      376.25|     1323.75| 451.83%|
| 103|kunduzi     |        1699|       1/103|      372.59|     1326.41| 455.99%|
| 104|viloyat     |        1672|       1/104|      369.01|     1302.99| 453.10%|
| 105|deb         |        1665|       1/105|      365.50|     1299.50| 455.55%|
| 106|xizmat      |        1651|       1/106|      362.05|     1288.95| 456.02%|
| 107|harorat     |        1647|       1/107|      358.66|     1288.34| 459.20%|
| 108|oshirish    |        1646|       1/108|      355.34|     1290.66| 463.21%|
| 109|so`m        |        1615|       1/109|      352.08|     1262.92| 458.70%|
| 110|o`zgarib    |        1610|       1/110|      348.88|     1261.12| 461.47%|
| 111|qadar       |        1606|       1/111|      345.74|     1260.26| 464.51%|
| 112|ularning    |        1604|       1/112|      342.65|     1261.35| 468.11%|
| 113|yog`ingarchilik|        1592|       1/113|      339.62|     1252.38| 468.76%|
| 114|birinchi    |        1578|       1/114|      336.64|     1241.36| 468.75%|
| 115|tegishli    |        1578|       1/115|      333.71|     1244.29| 472.86%|
| 116|ko`p        |        1577|       1/116|      330.84|     1246.16| 476.67%|
| 117|asosida     |        1568|       1/117|      328.01|     1239.99| 478.04%|
| 118|qilgan      |        1567|       1/118|      325.23|     1241.77| 481.81%|
| 119|rahbari     |        1535|       1/119|      322.50|     1212.50| 475.98%|
| 120|bugun       |        1520|       1/120|      319.81|     1200.19| 475.28%|
| 121|etdi        |        1509|       1/121|      317.17|     1191.83| 475.78%|
| 122|samarqand   |        1494|       1/122|      314.57|     1179.43| 474.94%|
| 123|unga        |        1485|       1/123|      312.01|     1172.99| 475.95%|
| 124|ichki       |        1472|       1/124|      309.49|     1162.51| 475.62%|
| 125|rivojlantirish|        1472|       1/125|      307.02|     1164.98| 479.45%|
| 126|sodir       |        1459|       1/126|      304.58|     1154.42| 479.02%|
| 127|kelib       |        1454|       1/127|      302.18|     1151.82| 481.17%|
| 128|saqlash     |        1447|       1/128|      299.82|     1147.18| 482.62%|
| 129|yuqori      |        1445|       1/129|      297.50|     1147.50| 485.72%|
| 130|holda       |        1418|       1/130|      295.21|     1122.79| 480.34%|
| 131|fuqaro      |        1411|       1/131|      292.95|     1118.05| 481.65%|
| 132|namangan    |        1409|       1/132|      290.73|     1118.27| 484.63%|
| 133|katta       |        1399|       1/133|      288.55|     1110.45| 484.84%|
| 134|soni        |        1388|       1/134|      286.40|     1101.60| 484.64%|
| 135|ega         |        1384|       1/135|      284.27|     1099.73| 486.85%|
| 136|mehnat      |        1383|       1/136|      282.18|     1100.82| 490.11%|
| 137|kutilmaydi  |        1367|       1/137|      280.12|     1086.88| 488.00%|
| 138|prezidenti  |        1366|       1/138|      278.09|     1087.91| 491.20%|
| 139|ma`lumot    |        1358|       1/139|      276.09|     1081.91| 491.86%|
| 140|ishtirok    |        1355|       1/140|      274.12|     1080.88| 494.31%|
| 141|million     |        1354|       1/141|      272.18|     1081.82| 497.47%|
| 142|shahrida    |        1342|       1/142|      270.26|     1071.74| 496.56%|
| 143|qilib       |        1342|       1/143|      268.37|     1073.63| 500.05%|
| 144|markaziy    |        1342|       1/144|      266.51|     1075.49| 503.55%|
| 145|xodimlari   |        1334|       1/145|      264.67|     1069.33| 504.03%|
| 146|bo`lishi    |        1326|       1/146|      262.86|     1063.14| 504.46%|
| 147|ta`minlash  |        1316|       1/147|      261.07|     1054.93| 504.08%|
| 148|farg`ona    |        1304|       1/148|      259.30|     1044.70| 502.88%|
| 149|bermoqda    |        1291|       1/149|      257.56|     1033.44| 501.24%|
| 150|belgilangan |        1289|       1/150|      255.85|     1033.15| 503.82%|
| 151|bor         |        1286|       1/151|      254.15|     1031.85| 506.00%|
| 152|davom       |        1281|       1/152|      252.48|     1028.52| 507.37%|
| 153|bo`ldi      |        1276|       1/153|      250.83|     1025.17| 508.71%|
| 154|ortiq       |        1275|       1/154|      249.20|     1025.80| 511.63%|
| 155|tashqi      |        1270|       1/155|      247.59|     1022.41| 512.94%|
| 156|mln         |        1269|       1/156|      246.01|     1022.99| 515.84%|
| 157|koronavirus |        1265|       1/157|      244.44|     1020.56| 517.51%|
| 158|etib        |        1258|       1/158|      242.89|     1015.11| 517.92%|
| 159|xalq        |        1258|       1/159|      241.36|     1016.64| 521.20%|
| 160|o`rinbosari |        1253|       1/160|      239.86|     1013.14| 522.40%|
| 161|iib         |        1251|       1/161|      238.37|     1012.63| 524.82%|
| 162|shavkat     |        1251|       1/162|      236.90|     1014.10| 528.08%|
| 163|jami        |        1245|       1/163|      235.44|     1009.56| 528.79%|
| 164|gi          |        1241|       1/164|      234.01|     1006.99| 530.33%|
| 165|gaz         |        1239|       1/165|      232.59|     1006.41| 532.70%|
| 166|o`zbekistonda|        1236|       1/166|      231.19|     1004.81| 534.63%|
| 167|gacha       |        1236|       1/167|      229.80|     1006.20| 537.85%|
| 168|maxsus      |        1235|       1/168|      228.43|     1006.57| 540.64%|
| 169|jumladan    |        1224|       1/169|      227.08|      996.92| 539.01%|
| 170|boshqarmasi |        1215|       1/170|      225.75|      989.25| 538.21%|
| 171|ga          |        1213|       1/171|      224.43|      988.57| 540.49%|
| 172|murojaat    |        1203|       1/172|      223.12|      979.88| 539.17%|
| 173|nafari      |        1196|       1/173|      221.83|      974.17| 539.15%|
| 174|olgan       |        1186|       1/174|      220.56|      965.44| 537.73%|
| 175|etildi      |        1179|       1/175|      219.30|      959.70| 537.63%|
| 176|aqsh        |        1179|       1/176|      218.05|      960.95| 540.70%|
| 177|e`lon       |        1172|       1/177|      216.82|      955.18| 540.54%|
| 178|berish      |        1169|       1/178|      215.60|      953.40| 542.20%|
| 179|raisi       |        1169|       1/179|      214.40|      954.60| 545.25%|
| 180|vafot       |        1169|       1/180|      213.21|      955.79| 548.30%|
| 181|rossiya     |        1164|       1/181|      212.03|      951.97| 548.99%|
| 182|yordam      |        1161|       1/182|      210.86|      950.14| 550.60%|
| 183|bundan      |        1159|       1/183|      209.71|      949.29| 552.67%|
| 184|qo`shimcha  |        1159|       1/184|      208.57|      950.43| 555.69%|
| 185|ko`rib      |        1157|       1/185|      207.44|      949.56| 557.74%|
| 186|moddasi     |        1157|       1/186|      206.33|      950.67| 560.76%|
| 187|doirasida   |        1150|       1/187|      205.22|      944.78| 560.36%|
| 188|natijasida  |        1141|       1/188|      204.13|      936.87| 558.95%|
| 189|ular        |        1134|       1/189|      203.05|      930.95| 558.48%|
| 190|sud         |        1128|       1/190|      201.98|      926.02| 558.46%|
| 191|sharqdan    |        1127|       1/191|      200.93|      926.07| 560.90%|
| 192|buxoro      |        1126|       1/192|      199.88|      926.12| 563.34%|
| 193|yana        |        1123|       1/193|      198.84|      924.16| 564.76%|
| 194|fuqarolar   |        1117|       1/194|      197.82|      919.18| 564.66%|
| 195|aholi       |        1112|       1/195|      196.81|      915.19| 565.03%|
| 196|to`g`risidagi|        1109|       1/196|      195.80|      913.20| 566.39%|
| 197|mavjud      |        1106|       1/197|      194.81|      911.19| 567.74%|
| 198|tashqari    |        1102|       1/198|      193.82|      908.18| 568.56%|
| 199|andijon     |        1098|       1/199|      192.85|      905.15| 569.36%|
| 200|sog`liqni   |        1097|       1/200|      191.88|      905.12| 571.70%|
| 201|o`tkazilgan |        1094|       1/201|      190.93|      903.07| 572.98%|
| 202|tibbiyot    |        1087|       1/202|      189.99|      897.01| 572.15%|
| 203|respublika  |        1086|       1/203|      189.05|      896.95| 574.45%|
| 204|sifatida    |        1082|       1/204|      188.12|      893.88| 575.16%|
| 205|biroz       |        1079|       1/205|      187.20|      891.80| 576.37%|
| 206|tergov      |        1079|       1/206|      186.30|      892.70| 579.19%|
| 207|alohida     |        1078|       1/207|      185.40|      892.60| 581.46%|
| 208|yanada      |        1077|       1/208|      184.50|      892.50| 583.72%|
| 209|kabi        |        1070|       1/209|      183.62|      886.38| 582.72%|
| 210|qismi       |        1067|       1/210|      182.75|      884.25| 583.87%|
| 211|tibbiy      |        1057|       1/211|      181.88|      875.12| 581.15%|
| 212|muhim       |        1047|       1/212|      181.02|      865.98| 578.38%|
| 213|kun         |        1042|       1/213|      180.17|      861.83| 578.33%|
| 214|rasmiy      |        1042|       1/214|      179.33|      862.67| 581.05%|
| 215|so`ng       |        1030|       1/215|      178.50|      851.50| 577.04%|
| 216|qayta       |        1025|       1/216|      177.67|      847.33| 576.91%|
| 217|ayni        |        1018|       1/217|      176.85|      841.15| 575.62%|
| 218|mirziyoev   |        1017|       1/218|      176.04|      840.96| 577.71%|
| 219|yaqin       |        1015|       1/219|      175.24|      839.76| 579.21%|
| 220|kerak       |        1014|       1/220|      174.44|      839.56| 581.29%|
| 221|tug`ilgan   |        1013|       1/221|      173.65|      839.35| 583.35%|
| 222|dedi        |        1000|       1/222|      172.87|      827.13| 578.47%|
| 223|asosiy      |         998|       1/223|      172.09|      825.91| 579.92%|
| 224|ishga       |         992|       1/224|      171.33|      820.67| 579.01%|
| 225|qo`mitasi   |         992|       1/225|      170.56|      821.44| 581.60%|
| 226|qonun       |         991|       1/226|      169.81|      821.19| 583.59%|
| 227|bulutli     |         988|       1/227|      169.06|      818.94| 584.40%|
| 228|hamkorlik   |         986|       1/228|      168.32|      817.68| 585.79%|
| 229|asosan      |         985|       1/229|      167.59|      817.41| 587.76%|
| 230|bugungi     |         984|       1/230|      166.86|      817.14| 589.73%|
| 231|umumiy      |         983|       1/231|      166.13|      816.87| 591.69%|
| 232|chiqarish   |         983|       1/232|      165.42|      817.58| 594.25%|
| 233|o`tkazish   |         982|       1/233|      164.71|      817.29| 596.21%|
| 234|huzuridagi  |         982|       1/234|      164.00|      818.00| 598.76%|
| 235|da          |         969|       1/235|      163.31|      805.69| 593.36%|
| 236|ishi        |         968|       1/236|      162.61|      805.39| 595.27%|
| 237|turli       |         967|       1/237|      161.93|      805.07| 597.18%|
| 238|kelgan      |         957|       1/238|      161.25|      795.75| 593.50%|
| 239|to`liq      |         954|       1/239|      160.57|      793.43| 594.12%|
| 240|olingan     |         949|       1/240|      159.90|      789.10| 593.48%|
| 241|transport   |         947|       1/241|      159.24|      787.76| 594.70%|
| 242|yoshlar     |         943|       1/242|      158.58|      784.42| 594.64%|
| 243|vaziri      |         942|       1/243|      157.93|      784.07| 596.47%|
| 244|dan         |         938|       1/244|      157.28|      780.72| 596.38%|
| 245|bergan      |         938|       1/245|      156.64|      781.36| 598.82%|
| 246|bog`liq     |         935|       1/246|      156.00|      779.00| 599.34%|
| 247|ommaviy     |         929|       1/247|      155.37|      773.63| 597.92%|
| 248|tumanida    |         929|       1/248|      154.75|      774.25| 600.34%|
| 249|berildi     |         929|       1/249|      154.12|      774.88| 602.76%|
| 250|avtomobil   |         928|       1/250|      153.51|      774.49| 604.53%|
| 251|bo`limi     |         926|       1/251|      152.90|      773.10| 605.64%|
| 252|xorijiy     |         924|       1/252|      152.29|      771.71| 606.74%|
| 253|navoiy      |         922|       1/253|      151.69|      770.31| 607.83%|
| 254|xususan     |         920|       1/254|      151.09|      768.91| 608.91%|
| 255|deya        |         920|       1/255|      150.50|      769.50| 611.30%|
| 256|markazi     |         914|       1/256|      149.91|      764.09| 609.70%|
| 257|joylashgan  |         909|       1/257|      149.33|      759.67| 608.73%|
| 258|iqtisodiy   |         907|       1/258|      148.75|      758.25| 609.76%|
| 259|faoliyat    |         902|       1/259|      148.17|      753.83| 608.74%|
| 260|o`rtasida   |         902|       1/260|      147.60|      754.40| 611.10%|
| 261|agentligi   |         902|       1/261|      147.04|      754.96| 613.45%|
| 262|boshlab     |         898|       1/262|      146.48|      751.52| 613.07%|
| 263|suv         |         894|       1/263|      145.92|      748.08| 612.66%|
| 264|aniqlangan  |         893|       1/264|      145.37|      747.63| 614.31%|
| 265|kunda       |         892|       1/265|      144.82|      747.18| 615.94%|
| 266|saylov      |         888|       1/266|      144.27|      743.73| 615.49%|
| 267|berilgan    |         886|       1/267|      143.73|      742.27| 616.42%|
| 268|harakatlari |         882|       1/268|      143.20|      738.80| 615.93%|
| 269|etiladi     |         880|       1/269|      142.67|      737.33| 616.83%|
| 270|daraja      |         878|       1/270|      142.14|      735.86| 617.71%|
| 271|savdo       |         877|       1/271|      141.61|      735.39| 619.30%|
| 272|hozirda     |         876|       1/272|      141.09|      734.91| 620.87%|
| 273|o`quv       |         874|       1/273|      140.58|      733.42| 621.73%|
| 274|er          |         873|       1/274|      140.06|      732.94| 623.30%|
| 275|qarori      |         871|       1/275|      139.55|      731.45| 624.14%|
| 276|rusumli     |         871|       1/276|      139.05|      731.95| 626.41%|
| 277|taqdim      |         866|       1/277|      138.55|      727.45| 625.07%|
| 278|mart        |         864|       1/278|      138.05|      725.95| 625.87%|
| 279|sabab       |         864|       1/279|      137.55|      726.45| 628.13%|
| 280|may         |         862|       1/280|      137.06|      724.94| 628.92%|
| 281|qanday      |         861|       1/281|      136.57|      724.43| 630.43%|
| 282|ma`muriy    |         861|       1/282|      136.09|      724.91| 632.68%|
| 283|yo`lga      |         860|       1/283|      135.61|      724.39| 634.18%|
| 284|o`zaro      |         860|       1/284|      135.13|      724.87| 636.42%|
| 285|ravishda    |         857|       1/285|      134.66|      722.34| 636.44%|
| 286|yomg`ir     |         851|       1/286|      134.19|      716.81| 634.20%|
| 287|muhokama    |         848|       1/287|      133.72|      714.28| 634.17%|
| 288|etadi       |         843|       1/288|      133.25|      709.75| 632.63%|
| 289|qashqadaryo |         842|       1/289|      132.79|      709.21| 634.07%|
| 290|masalalari  |         840|       1/290|      132.33|      707.67| 634.76%|
| 291|qurilish    |         839|       1/291|      131.88|      707.12| 636.19%|
| 292|jalb        |         833|       1/292|      131.43|      701.57| 633.81%|
| 293|kuchayishi  |         833|       1/293|      130.98|      702.02| 635.98%|
| 294|keng        |         829|       1/294|      130.53|      698.47| 635.08%|
| 295|qoraqalpog`iston|         823|       1/295|      130.09|      692.91| 632.63%|
| 296|kunlari     |         822|       1/296|      129.65|      692.35| 634.00%|
| 297|qiladi      |         820|       1/297|      129.22|      690.78| 634.60%|
| 298|vaqtida     |         816|       1/298|      128.78|      687.22| 633.63%|
| 299|faoliyatini |         814|       1/299|      128.35|      685.65| 634.20%|
| 300|sababli     |         813|       1/300|      127.92|      685.08| 635.54%|
| 301|birga       |         813|       1/301|      127.50|      685.50| 637.66%|
| 302|biz         |         812|       1/302|      127.08|      684.92| 638.99%|
| 303|bo`lsa      |         811|       1/303|      126.66|      684.34| 640.31%|
| 304|organlari   |         806|       1/304|      126.24|      679.76| 638.47%|
| 305|kodeksining |         806|       1/305|      125.83|      680.17| 640.57%|
| 306|muvofiq     |         799|       1/306|      125.42|      673.58| 637.08%|
| 307|kishi       |         798|       1/307|      125.01|      672.99| 638.37%|
| 308|mlrd        |         797|       1/308|      124.60|      672.40| 639.64%|
| 309|mahalliy    |         795|       1/309|      124.20|      670.80| 640.11%|
| 310|aj          |         793|       1/310|      123.80|      669.20| 640.57%|
| 311|sonli       |         793|       1/311|      123.40|      669.60| 642.63%|
| 312|elektron    |         791|       1/312|      123.00|      668.00| 643.07%|
| 313|qishloq     |         788|       1/313|      122.61|      665.39| 642.69%|
| 314|so`mga      |         784|       1/314|      122.22|      661.78| 641.47%|
| 315|qator       |         780|       1/315|      121.83|      658.17| 640.23%|
| 316|deyiladi    |         775|       1/316|      121.45|      653.55| 638.14%|
| 317|aprel       |         774|       1/317|      121.06|      652.94| 639.34%|
| 318|vakillari   |         773|       1/318|      120.68|      652.32| 640.52%|
| 319|emas        |         772|       1/319|      120.30|      651.70| 641.71%|
| 320|etmoqda     |         769|       1/320|      119.93|      649.07| 641.22%|
| 321|oyida       |         768|       1/321|      119.55|      648.45| 642.38%|
| 322|kecha       |         762|       1/322|      119.18|      642.82| 639.35%|
| 323|tarmoqlarda |         759|       1/323|      118.81|      640.19| 638.81%|
| 324|unda        |         758|       1/324|      118.45|      639.55| 639.95%|
| 325|borilmoqda  |         755|       1/325|      118.08|      636.92| 639.38%|
| 326|o`tdi       |         751|       1/326|      117.72|      633.28| 637.95%|
| 327|surxondaryo |         748|       1/327|      117.36|      630.64| 637.35%|
| 328|harbiy      |         745|       1/328|      117.00|      628.00| 636.74%|
| 329|koronavirusga|         744|       1/329|      116.65|      627.35| 637.82%|
| 330|zamonaviy   |         736|       1/330|      116.29|      619.71| 632.88%|
| 331|hududida    |         732|       1/331|      115.94|      616.06| 631.35%|
| 332|mamlakat    |         731|       1/332|      115.59|      615.41| 632.39%|
| 333|shundan     |         729|       1/333|      115.25|      613.75| 632.56%|
| 334|tan         |         729|       1/334|      114.90|      614.10| 634.46%|
| 335|qaror       |         728|       1/335|      114.56|      613.44| 635.48%|
| 336|faoliyati   |         726|       1/336|      114.22|      611.78| 635.63%|
| 337|uni         |         726|       1/337|      113.88|      612.12| 637.52%|
| 338|yoshli      |         726|       1/338|      113.54|      612.46| 639.41%|
| 339|sirdaryo    |         723|       1/339|      113.21|      609.79| 638.66%|
| 340|ya`ni       |         722|       1/340|      112.87|      609.13| 639.65%|
| 341|iyun        |         714|       1/341|      112.54|      601.46| 634.43%|
| 342|talab       |         712|       1/342|      112.21|      599.79| 634.51%|
| 343|inson       |         709|       1/343|      111.89|      597.11| 633.68%|
| 344|paytda      |         707|       1/344|      111.56|      595.44| 633.73%|
| 345|jizzax      |         706|       1/345|      111.24|      594.76| 634.68%|
| 346|o`zbek      |         703|       1/346|      110.92|      592.08| 633.81%|
| 347|himoya      |         702|       1/347|      110.60|      591.40| 634.74%|
| 348|bolalar     |         702|       1/348|      110.28|      591.72| 636.57%|
| 349|yanvar      |         702|       1/349|      109.96|      592.04| 638.40%|
| 350|qilinishicha|         701|       1/350|      109.65|      591.35| 639.32%|
| 351|boshlig`i   |         700|       1/351|      109.34|      590.66| 640.23%|
| 352|bunday      |         700|       1/352|      109.03|      590.97| 642.05%|
| 353|hal         |         692|       1/353|      108.72|      583.28| 636.52%|
| 354|shahri      |         688|       1/354|      108.41|      579.59| 634.63%|
| 355|yo`q        |         688|       1/355|      108.10|      579.90| 636.42%|
| 356|ularni      |         687|       1/356|      107.80|      579.20| 637.29%|
| 357|emlash      |         687|       1/357|      107.50|      579.50| 639.08%|
| 358|vositalari  |         686|       1/358|      107.20|      578.80| 639.94%|
| 359|chiqib      |         686|       1/359|      106.90|      579.10| 641.72%|
| 360|shunday     |         680|       1/360|      106.60|      573.40| 637.88%|
| 361|ikkinchi    |         679|       1/361|      106.31|      572.69| 638.71%|
| 362|elektr      |         679|       1/362|      106.01|      572.99| 640.48%|
| 363|biri        |         677|       1/363|      105.72|      571.28| 640.36%|
| 364|juda        |         671|       1/364|      105.43|      565.57| 636.43%|
| 365|ishtirokida |         670|       1/365|      105.14|      564.86| 637.23%|
| 366|bo`lmagan   |         667|       1/366|      104.86|      562.14| 636.12%|
| 367|yashovchi   |         666|       1/367|      104.57|      561.43| 636.90%|
| 368|jahon       |         661|       1/368|      104.29|      556.71| 633.84%|
| 369|tizimi      |         660|       1/369|      104.00|      556.00| 634.60%|
| 370|ko`rsatish  |         659|       1/370|      103.72|      555.28| 635.35%|
| 371|xorazm      |         657|       1/371|      103.44|      553.56| 635.14%|
| 372|jamoat      |         655|       1/372|      103.16|      551.84| 634.91%|
| 373|oldini      |         653|       1/373|      102.89|      550.11| 634.67%|
| 374|chiqish     |         650|       1/374|      102.61|      547.39| 633.45%|
| 375|holati      |         650|       1/375|      102.34|      547.66| 635.15%|
| 376|o`rta       |         648|       1/376|      102.07|      545.93| 634.88%|
| 377|iyul        |         646|       1/377|      101.80|      544.20| 634.60%|
| 378|ayrim       |         645|       1/378|      101.53|      543.47| 635.30%|
| 379|qilinadi    |         644|       1/379|      101.26|      542.74| 636.00%|
| 380|yillarda    |         642|       1/380|      100.99|      541.01| 635.69%|
| 381|oid         |         641|       1/381|      100.73|      540.27| 636.37%|
| 382|temir       |         640|       1/382|      100.46|      539.54| 637.05%|
| 383|ma`lumotlariga|         639|       1/383|      100.20|      538.80| 637.72%|
| 384|ma`lumotlar |         637|       1/384|       99.94|      537.06| 637.38%|
| 385|e`tibor     |         635|       1/385|       99.68|      535.32| 637.04%|
| 386|so`nggi     |         631|       1/386|       99.42|      531.58| 634.67%|
